Date;Rain (mm)
23/05/2010;0
24/05/2010;0
25/05/2010;0
26/05/2010;0
27/05/2010;0
28/05/2010;0
29/05/2010;0
30/05/2010;0
31/05/2010;91
01/06/2010;0
02/06/2010;7
03/06/2010;0
04/06/2010;0
05/06/2010;19
06/06/2010;0
07/06/2010;0
08/06/2010;0
09/06/2010;0
10/06/2010;0
11/06/2010;0
12/06/2010;0
13/06/2010;51
14/06/2010;0
15/06/2010;0
16/06/2010;4,5
17/06/2010;0
18/06/2010;0
19/06/2010;0
20/06/2010;0
21/06/2010;0
22/06/2010;0
23/06/2010;12
24/06/2010;0
25/06/2010;8
26/06/2010;0
27/06/2010;0
28/06/2010;0
29/06/2010;0
30/06/2010;0
01/07/2010;1
02/07/2010;3,5
03/07/2010;0
04/07/2010;0
05/07/2010;0
06/07/2010;0
07/07/2010;0
08/07/2010;9
09/07/2010;0
10/07/2010;2
11/07/2010;0
12/07/2010;20
13/07/2010;0
14/07/2010;2
15/07/2010;5,5
16/07/2010;31
17/07/2010;0
18/07/2010;17,5
19/07/2010;0
20/07/2010;0
21/07/2010;2,5
22/07/2010;7
23/07/2010;0
24/07/2010;12
25/07/2010;0
26/07/2010;11
27/07/2010;0
28/07/2010;0
29/07/2010;0
30/07/2010;26
31/07/2010;0
01/08/2010;21
02/08/2010;0
03/08/2010;25
04/08/2010;35
05/08/2010;0
06/08/2010;0
07/08/2010;15
08/08/2010;0
09/08/2010;0
10/08/2010;16
11/08/2010;12
12/08/2010;0
13/08/2010;24
14/08/2010;5,5
15/08/2010;0
16/08/2010;34
17/08/2010;0
18/08/2010;15
19/08/2010;22
20/08/2010;6
21/08/2010;0
22/08/2010;0
23/08/2010;0
24/08/2010;0
25/08/2010;6
26/08/2010;0
27/08/2010;0
28/08/2010;0
29/08/2010;0
30/08/2010;9
31/08/2010;0
01/09/2010;5
02/09/2010;0
03/09/2010;0
04/09/2010;3
05/09/2010;30
06/09/2010;0
07/09/2010;0
08/09/2010;0
09/09/2010;0
10/09/2010;0
11/09/2010;0
12/09/2010;0
13/09/2010;0
14/09/2010;0
15/09/2010;11
16/09/2010;6
17/09/2010;6,5
18/09/2010;0
19/09/2010;0
20/09/2010;56
21/09/2010;0
22/09/2010;0
23/09/2010;31
24/09/2010;2,7
25/09/2010;42
26/09/2010;0
27/09/2010;9,9
28/09/2010;0
29/09/2010;0
30/09/2010;27
01/10/2010;0
02/10/2010;9
03/10/2010;23
04/10/2010;0
05/10/2010;2,6
